County,MLO,ID,Population_density
South Gloucestershire,South Gloucestershire 026,E02003115,"6,321.50"
South Gloucestershire,South Gloucestershire 027,E02003116,"5,615.50"
South Gloucestershire,South Gloucestershire 028,E02003117,"5,591.90"
South Gloucestershire,South Gloucestershire 029,E02003118,"2,829.60"
South Gloucestershire,South Gloucestershire 030,E02003119,"2,623.90"
South Gloucestershire,South Gloucestershire 031,E02003120,"2,882.00"
South Gloucestershire,South Gloucestershire 032,E02003121,"2,112.00"
South Gloucestershire,South Gloucestershire 033,E02007064,"2,925.40"
South Gloucestershire,South Gloucestershire 034,E02007065,"4,819.40"
South Gloucestershire,South Gloucestershire 035,E02007066,"2,124.90"
South Gloucestershire,South Gloucestershire 036,E02007067,"1,206.30"
Devon,South Hams 001,E02004189,70.9
Devon,South Hams 002,E02004190,40.5
Devon,South Hams 003,E02004191,"1,506.90"
Devon,South Hams 004,E02004192,68.7
Devon,South Hams 005,E02004193,"3,757.20"
Devon,South Hams 006,E02004194,61
Devon,South Hams 007,E02004195,672
Devon,South Hams 008,E02004196,68.8
Devon,South Hams 009,E02004197,151.6
Devon,South Hams 010,E02004198,430.2
Devon,South Hams 011,E02004199,59
Devon,South Hams 012,E02004200,89.7
Somerset,South Somerset 001,E02006075,55.3
Somerset,South Somerset 002,E02006076,97.2
Somerset,South Somerset 003,E02006077,164.1
Somerset,South Somerset 004,E02006078,95.9
Somerset,South Somerset 005,E02006079,149.4
Somerset,South Somerset 006,E02006080,96.8
Somerset,South Somerset 007,E02006081,81.4
Somerset,South Somerset 008,E02006082,163.6
Somerset,South Somerset 009,E02006083,191.9
Somerset,South Somerset 010,E02006084,131.9
Somerset,South Somerset 011,E02006085,"2,656.90"
Somerset,South Somerset 012,E02006086,737.9
Somerset,South Somerset 013,E02006087,"4,902.10"
Somerset,South Somerset 014,E02006088,"5,246.10"
Somerset,South Somerset 015,E02006089,"3,980.80"
Somerset,South Somerset 016,E02006090,"3,275.60"
Somerset,South Somerset 017,E02006091,130.4
Somerset,South Somerset 018,E02006092,"1,772.90"
Somerset,South Somerset 019,E02006093,209.1
Somerset,South Somerset 020,E02006094,115.9
Somerset,South Somerset 021,E02006095,761.2
Somerset,South Somerset 022,E02006096,"1,639.00"
Somerset,South Somerset 023,E02006097,"3,792.10"
Somerset,South Somerset 024,E02006098,56.7
Gloucestershire,Stroud 001,E02004651,205
Gloucestershire,Stroud 002,E02004652,88.1
Gloucestershire,Stroud 003,E02004653,108.6
Gloucestershire,Stroud 004,E02004654,"1,855.80"
Gloucestershire,Stroud 005,E02004655,"1,633.60"
Gloucestershire,Stroud 006,E02004656,"1,703.30"
Gloucestershire,Stroud 007,E02004657,798.9
Gloucestershire,Stroud 008,E02004658,"1,312.20"
Gloucestershire,Stroud 009,E02004659,165.9
Gloucestershire,Stroud 010,E02004660,276.2
Gloucestershire,Stroud 011,E02004661,721
Gloucestershire,Stroud 012,E02004662,98.2
Gloucestershire,Stroud 013,E02004663,352.6
Gloucestershire,Stroud 014,E02004664,"1,614.70"
Gloucestershire,Stroud 015,E02004665,148
Swindon,Swindon 001,E02003212,268.3
Swindon,Swindon 003,E02003214,"4,769.50"
Swindon,Swindon 004,E02003215,"4,582.50"
Swindon,Swindon 005,E02003216,"3,212.10"
Swindon,Swindon 006,E02003217,"5,819.90"
Swindon,Swindon 007,E02003218,"4,622.90"
Swindon,Swindon 008,E02003219,133.6
Swindon,Swindon 009,E02003220,"1,851.70"
Swindon,Swindon 010,E02003221,"3,631.30"
Swindon,Swindon 011,E02003222,"3,647.30"
Swindon,Swindon 012,E02003223,"2,264.50"
Swindon,Swindon 013,E02003224,"4,468.50"
Swindon,Swindon 014,E02003225,"2,232.20"
Swindon,Swindon 015,E02003226,"11,306.10"
Swindon,Swindon 016,E02003227,"6,055.40"
Swindon,Swindon 017,E02003228,"4,209.10"
Swindon,Swindon 018,E02003229,"3,120.50"
Swindon,Swindon 019,E02003230,"8,789.50"
Swindon,Swindon 020,E02003231,"6,144.50"
Swindon,Swindon 021,E02003232,"3,845.20"
Swindon,Swindon 022,E02003233,"3,234.30"
Swindon,Swindon 023,E02003234,"2,875.30"
Swindon,Swindon 024,E02003235,"1,697.60"
Swindon,Swindon 025,E02003236,280
Swindon,Swindon 026,E02006847,"3,751.50"
Swindon,Swindon 027,E02006848,"7,743.50"
Swindon,Swindon 028,E02006849,"3,677.30"
Devon,Teignbridge 001,E02004201,43.2
Devon,Teignbridge 002,E02004202,118.3
Devon,Teignbridge 003,E02004203,32.5
Devon,Teignbridge 004,E02004204,224.6
Devon,Teignbridge 005,E02004205,756.1
Devon,Teignbridge 006,E02004206,646.1
Devon,Teignbridge 007,E02004207,153.1
Devon,Teignbridge 008,E02004208,"1,776.30"
Devon,Teignbridge 009,E02004209,"2,442.60"
Devon,Teignbridge 010,E02004210,"4,843.40"
Devon,Teignbridge 011,E02004211,186.7
Devon,Teignbridge 012,E02004212,"2,591.50"
Devon,Teignbridge 013,E02004213,258.7
Devon,Teignbridge 014,E02004214,"3,546.70"
Devon,Teignbridge 015,E02004215,"1,476.90"
Devon,Teignbridge 016,E02004216,"2,847.00"
Devon,Teignbridge 017,E02004217,198.5
Devon,Teignbridge 018,E02004218,330.6
Devon,Teignbridge 019,E02004219,143.5
Gloucestershire,Tewkesbury 001,E02004666,593.9
Gloucestershire,Tewkesbury 002,E02004667,456.2
Gloucestershire,Tewkesbury 003,E02004668,65.2
Gloucestershire,Tewkesbury 004,E02004669,74.7
Gloucestershire,Tewkesbury 006,E02004671,127.6
Gloucestershire,Tewkesbury 007,E02004672,"1,065.80"
Gloucestershire,Tewkesbury 008,E02004673,181.7
Gloucestershire,Tewkesbury 009,E02004674,"1,078.20"
Gloucestershire,Tewkesbury 010,E02007034,"2,016.00"
Gloucestershire,Tewkesbury 011,E02007035,"1,545.60"
Torbay,Torbay 001,E02003154,"3,705.80"
Torbay,Torbay 002,E02003155,"1,358.60"
Torbay,Torbay 003,E02003156,"2,558.30"
Torbay,Torbay 004,E02003157,"4,279.30"
Torbay,Torbay 005,E02003158,"4,918.40"
Torbay,Torbay 006,E02003159,"8,152.90"
Torbay,Torbay 008,E02003161,"5,211.60"
Torbay,Torbay 010,E02003163,"2,005.80"
Torbay,Torbay 011,E02003164,"3,301.40"
Torbay,Torbay 012,E02003165,"5,136.40"
Torbay,Torbay 013,E02003166,"1,175.00"
Torbay,Torbay 014,E02003167,"5,642.30"
Torbay,Torbay 015,E02003168,"2,342.00"
Torbay,Torbay 016,E02003169,667.9
Torbay,Torbay 017,E02003170,"2,868.90"
Torbay,Torbay 018,E02003171,"2,533.30"
Torbay,Torbay 019,E02006840,"1,543.00"
Devon,Torridge 001,E02004220,992.1
Devon,Torridge 002,E02004221,"1,220.40"
Devon,Torridge 003,E02004222,"3,576.20"
Devon,Torridge 004,E02004223,356.4
Devon,Torridge 005,E02004224,40.1
Devon,Torridge 006,E02004225,399.1
Devon,Torridge 007,E02004226,31.4
Devon,Torridge 008,E02004227,40.3
Devon,Torridge 009,E02004228,26.5
Devon,West Devon 001,E02004229,38.1
Devon,West Devon 002,E02004230,202.5
Devon,West Devon 003,E02004231,19.5
Devon,West Devon 004,E02004232,25.7
Devon,West Devon 005,E02004233,952.9
Devon,West Devon 006,E02004234,37.8
Devon,West Devon 007,E02004235,128.5
Wiltshire,Wiltshire 001,E02006644,116.2
Wiltshire,Wiltshire 002,E02006645,193.3
Wiltshire,Wiltshire 003,E02006646,221.8
Wiltshire,Wiltshire 004,E02006647,56.7
Wiltshire,Wiltshire 005,E02006648,70.8
Wiltshire,Wiltshire 006,E02006649,"4,107.40"
Wiltshire,Wiltshire 007,E02006650,182.9
Wiltshire,Wiltshire 008,E02006651,63.8
Wiltshire,Wiltshire 009,E02006652,"3,184.30"
Wiltshire,Wiltshire 010,E02006653,"4,001.90"
Wiltshire,Wiltshire 011,E02006654,"2,739.70"
Wiltshire,Wiltshire 012,E02006634,36.5
Wiltshire,Wiltshire 013,E02006655,55.8
Wiltshire,Wiltshire 014,E02006656,"1,506.80"
Wiltshire,Wiltshire 015,E02006657,"3,974.90"
Wiltshire,Wiltshire 016,E02006658,"2,891.70"
Wiltshire,Wiltshire 017,E02006659,228.9
Wiltshire,Wiltshire 018,E02006660,338.4
Wiltshire,Wiltshire 019,E02006635,"1,509.80"
Wiltshire,Wiltshire 020,E02006678,"3,579.50"
Wiltshire,Wiltshire 021,E02006679,262.3
Wiltshire,Wiltshire 022,E02006680,"3,218.60"
Wiltshire,Wiltshire 023,E02006681,149
Wiltshire,Wiltshire 024,E02006636,56
Wiltshire,Wiltshire 025,E02006637,"1,145.40"
Wiltshire,Wiltshire 026,E02006638,"1,530.70"
Wiltshire,Wiltshire 027,E02006682,"1,200.10"
Wiltshire,Wiltshire 028,E02006639,96.4
Wiltshire,Wiltshire 029,E02006640,36.5
Wiltshire,Wiltshire 030,E02006683,589.9
Wiltshire,Wiltshire 031,E02006684,"3,092.50"
Wiltshire,Wiltshire 032,E02006685,"3,986.60"
Wiltshire,Wiltshire 033,E02006686,"2,785.80"
Wiltshire,Wiltshire 034,E02006641,71.9
Wiltshire,Wiltshire 035,E02006687,"5,191.50"
Wiltshire,Wiltshire 036,E02006688,"4,378.80"
Wiltshire,Wiltshire 037,E02006689,128.4
Wiltshire,Wiltshire 038,E02006642,37
Wiltshire,Wiltshire 039,E02006690,86.9
Wiltshire,Wiltshire 042,E02006692,488.6
Wiltshire,Wiltshire 043,E02006693,730.6
Wiltshire,Wiltshire 044,E02006694,"2,348.80"
Wiltshire,Wiltshire 045,E02006661,78.9
Wiltshire,Wiltshire 046,E02006662,"1,255.90"
Wiltshire,Wiltshire 047,E02006695,28
Wiltshire,Wiltshire 048,E02006663,541
Wiltshire,Wiltshire 049,E02006664,56.1
Wiltshire,Wiltshire 050,E02006665,49
Wiltshire,Wiltshire 051,E02006666,"2,832.00"
Wiltshire,Wiltshire 052,E02006667,"2,236.00"
Wiltshire,Wiltshire 053,E02006668,"1,140.60"
Wiltshire,Wiltshire 054,E02006669,45.9
Wiltshire,Wiltshire 055,E02006670,"3,213.00"
Wiltshire,Wiltshire 056,E02006671,"3,216.30"
Wiltshire,Wiltshire 057,E02006672,139.4
Wiltshire,Wiltshire 058,E02006673,"2,464.80"
Wiltshire,Wiltshire 059,E02006674,"2,843.00"
Wiltshire,Wiltshire 060,E02006675,87.7
Wiltshire,Wiltshire 061,E02006676,49.5
Wiltshire,Wiltshire 062,E02006677,120
Wiltshire,Wiltshire 063,E02007023,"2,109.90"
Wiltshire,Wiltshire 064,E02007024,"3,425.90"
Wiltshire,Wiltshire 065,E02007025,623.5
Wiltshire,Wiltshire 066,E02007026,559.2
