County,MLO,ID,Population_density
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 045",E02006885,"4,399.20"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 046",E02003209,"3,252.40"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 047",E02003210,"3,152.70"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 048",E02003211,"1,622.70"
Bristol,Bristol 001,E02003012,"3,485.20"
Bristol,Bristol 002,E02003013,"4,573.00"
Bristol,Bristol 003,E02003014,783.9
Bristol,Bristol 004,E02003015,"4,452.30"
Bristol,Bristol 005,E02003016,"7,479.10"
Bristol,Bristol 006,E02003017,"4,565.80"
Bristol,Bristol 007,E02003018,"2,272.50"
Bristol,Bristol 008,E02003019,"1,371.00"
Bristol,Bristol 009,E02003020,"2,560.50"
Bristol,Bristol 010,E02003021,"6,944.30"
Bristol,Bristol 011,E02003022,"4,891.20"
Bristol,Bristol 012,E02003023,"2,615.30"
Bristol,Bristol 013,E02003024,"5,781.60"
Bristol,Bristol 014,E02003025,"2,405.10"
Bristol,Bristol 015,E02003026,"2,264.60"
Bristol,Bristol 016,E02003027,"8,655.80"
Bristol,Bristol 017,E02003028,"6,928.70"
Bristol,Bristol 018,E02003029,"6,587.20"
Bristol,Bristol 019,E02003030,"4,573.80"
Bristol,Bristol 020,E02003031,"8,559.60"
Bristol,Bristol 021,E02003032,"4,974.10"
Bristol,Bristol 022,E02003033,"11,182.50"
Bristol,Bristol 025,E02003036,"10,940.10"
Bristol,Bristol 026,E02003037,"11,042.60"
Bristol,Bristol 027,E02003038,"7,409.80"
Bristol,Bristol 028,E02003039,"7,603.70"
Bristol,Bristol 029,E02003040,"7,423.80"
Bristol,Bristol 030,E02003041,"5,519.00"
Bristol,Bristol 033,E02003044,"4,479.70"
Bristol,Bristol 034,E02003045,"10,938.40"
Bristol,Bristol 035,E02003046,"5,569.20"
Bristol,Bristol 036,E02003047,"5,840.50"
Bristol,Bristol 037,E02003048,"7,677.90"
Bristol,Bristol 038,E02003049,"2,533.70"
Bristol,Bristol 039,E02003050,"6,908.40"
Bristol,Bristol 040,E02003051,"7,877.80"
Bristol,Bristol 041,E02003052,"4,135.90"
Bristol,Bristol 042,E02003053,"5,997.50"
Bristol,Bristol 043,E02003054,"2,817.20"
Bristol,Bristol 044,E02003055,"6,442.70"
Bristol,Bristol 045,E02003056,"4,238.60"
Bristol,Bristol 046,E02003057,"2,606.40"
Bristol,Bristol 047,E02003058,"3,719.40"
Bristol,Bristol 048,E02003059,"4,116.60"
Bristol,Bristol 049,E02003060,"3,636.80"
Bristol,Bristol 050,E02003061,"5,325.50"
Bristol,Bristol 051,E02003062,"4,685.80"
Bristol,Bristol 052,E02003063,"4,270.80"
Bristol,Bristol 053,E02003064,"3,537.40"
Bristol,Bristol 054,E02006887,"5,194.00"
Bristol,Bristol 055,E02006888,"9,871.20"
Bristol,Bristol 056,E02006889,"5,134.80"
Bristol,Bristol 057,E02006890,"9,060.20"
Bristol,Bristol 058,E02006949,"9,049.90"
Bristol,Bristol 059,E02006950,"14,360.70"
Bristol,Bristol 060,E02006951,"8,149.70"
Bristol,Bristol 061,E02006952,"5,616.90"
Gloucestershire,Cheltenham 001,E02004600,"1,055.10"
Gloucestershire,Cheltenham 002,E02004601,"1,501.90"
Gloucestershire,Cheltenham 003,E02004602,"3,403.40"
Gloucestershire,Cheltenham 004,E02004603,"5,530.40"
Gloucestershire,Cheltenham 005,E02004604,"6,809.70"
Gloucestershire,Cheltenham 006,E02004605,"4,245.50"
Gloucestershire,Cheltenham 007,E02004606,"4,724.00"
Gloucestershire,Cheltenham 008,E02004607,"5,876.70"
Gloucestershire,Cheltenham 009,E02004608,"4,576.00"
Gloucestershire,Cheltenham 010,E02004609,"2,266.30"
Gloucestershire,Cheltenham 011,E02004610,"3,627.40"
Gloucestershire,Cheltenham 012,E02004611,"1,029.80"
Gloucestershire,Cheltenham 013,E02004612,"4,726.70"
Gloucestershire,Cheltenham 014,E02004613,"1,600.40"
Gloucestershire,Cheltenham 015,E02004614,"2,589.90"
Cornwall,Cornwall 001,E02003931,609.7
Cornwall,Cornwall 002,E02003932,34.1
Cornwall,Cornwall 003,E02003933,60.9
Cornwall,Cornwall 004,E02003934,39.5
Cornwall,Cornwall 005,E02003935,"1,161.90"
Cornwall,Cornwall 006,E02003936,36.4
Cornwall,Cornwall 007,E02003937,40.9
Cornwall,Cornwall 008,E02003938,87.7
Cornwall,Cornwall 009,E02003939,"1,872.00"
Cornwall,Cornwall 010,E02003892,283.3
Cornwall,Cornwall 011,E02003940,31.9
Cornwall,Cornwall 012,E02003893,43.5
Cornwall,Cornwall 013,E02003894,234.9
Cornwall,Cornwall 014,E02003941,"1,015.40"
Cornwall,Cornwall 015,E02003942,"1,729.30"
Cornwall,Cornwall 016,E02003895,143
Cornwall,Cornwall 017,E02003896,"1,748.40"
Cornwall,Cornwall 018,E02003952,339
Cornwall,Cornwall 019,E02003953,106.5
Cornwall,Cornwall 020,E02003954,"1,048.20"
Cornwall,Cornwall 021,E02003955,"3,487.50"
Cornwall,Cornwall 022,E02003897,134.8
Cornwall,Cornwall 023,E02003898,59.7
Cornwall,Cornwall 024,E02003956,122.4
Cornwall,Cornwall 025,E02003899,"4,633.70"
Cornwall,Cornwall 026,E02003900,"2,291.10"
Cornwall,Cornwall 027,E02003957,146.3
Cornwall,Cornwall 028,E02003901,46
Cornwall,Cornwall 029,E02003902,"3,521.30"
Cornwall,Cornwall 030,E02003958,210.1
Cornwall,Cornwall 031,E02003959,"1,002.60"
Cornwall,Cornwall 032,E02003905,66.2
Cornwall,Cornwall 033,E02003906,146.3
Cornwall,Cornwall 034,E02003903,207.7
Cornwall,Cornwall 035,E02003960,204.3
Cornwall,Cornwall 036,E02003961,"1,326.80"
Cornwall,Cornwall 037,E02003904,413
Cornwall,Cornwall 038,E02003962,"1,126.90"
Cornwall,Cornwall 039,E02003963,"3,604.80"
Cornwall,Cornwall 040,E02003907,236.7
Cornwall,Cornwall 041,E02003964,98.1
Cornwall,Cornwall 042,E02003908,"2,364.80"
Cornwall,Cornwall 043,E02003909,950.2
Cornwall,Cornwall 044,E02003910,"2,108.60"
Cornwall,Cornwall 045,E02003918,343.4
Cornwall,Cornwall 046,E02003919,674.2
Cornwall,Cornwall 047,E02003911,137.6
Cornwall,Cornwall 048,E02003912,58.1
Cornwall,Cornwall 049,E02003920,"1,483.10"
Cornwall,Cornwall 050,E02003921,534
Cornwall,Cornwall 051,E02003922,758.8
Cornwall,Cornwall 052,E02003923,"3,805.60"
Cornwall,Cornwall 053,E02003924,474.1
Cornwall,Cornwall 054,E02003943,684.7
Cornwall,Cornwall 055,E02003925,722.8
Cornwall,Cornwall 056,E02003913,161.3
Cornwall,Cornwall 057,E02003944,779.8
Cornwall,Cornwall 058,E02003945,161.6
Cornwall,Cornwall 059,E02003926,87.6
Cornwall,Cornwall 060,E02003914,"2,502.80"
Cornwall,Cornwall 061,E02003946,150.5
Cornwall,Cornwall 062,E02003915,"5,651.70"
Cornwall,Cornwall 063,E02003916,"3,173.00"
Cornwall,Cornwall 064,E02003917,"2,038.10"
Cornwall,Cornwall 065,E02003947,60.7
Cornwall,Cornwall 066,E02003927,137.8
Cornwall,Cornwall 067,E02003948,"1,632.60"
Cornwall,Cornwall 068,E02003949,"6,454.20"
Cornwall,Cornwall 069,E02003950,89.5
Cornwall,Cornwall 070,E02003951,857.5
Cornwall,Cornwall 071,E02003928,827.6
